n,native_learn,learn_unlearn,unlearn
10000,0.06696033477783203,0.7685582637786865,0.7415769100189209
11000,0.06395721435546875,0.8555107116699219,0.8055446147918701
12000,0.06693625450134277,0.8495111465454102,0.728604793548584
13000,0.07294654846191406,0.7935447692871094,0.7995560169219971
14000,0.06094527244567871,0.8025221824645996,0.6556470394134521
15000,0.06395769119262695,0.7345795631408691,0.7165939807891846
16000,0.07492804527282715,0.7525696754455566,0.7615928649902344
17000,0.07594847679138184,0.8005244731903076,0.8285508155822754
18000,0.08393359184265137,0.8095364570617676,0.8395204544067383
19000,0.08992147445678711,0.876500129699707,0.882521390914917
20000,0.08695268630981445,0.9304673671722412,0.902484655380249
21000,0.09393906593322754,0.9444572925567627,1.0144233703613281
22000,0.10693621635437012,0.9424607753753662,1.0513989925384521
23000,0.11191034317016602,0.948439359664917,1.12738037109375
24000,0.10793280601501465,1.0024254322052002,1.1263597011566162
25000,0.11390852928161621,1.000427484512329,1.2073311805725098
26000,0.11792445182800293,1.0273940563201904,1.2153117656707764
27000,0.11893129348754883,1.0633907318115234,1.2462875843048096
28000,0.11893057823181152,1.0773859024047852,1.3182446956634521
29000,0.12392306327819824,1.0793824195861816,1.6820435523986816
30000,0.13789987564086914,1.12135648727417,1.4491896629333496
31000,0.1359272003173828,1.1223397254943848,1.5121362209320068
32000,0.13489961624145508,1.180323839187622,1.5451226234436035
33000,0.133927583694458,1.1753101348876953,1.5521090030670166
34000,0.1409130096435547,1.1933155059814453,1.5521202087402344
35000,0.14292097091674805,1.2193021774291992,1.611079454421997
36000,0.14488792419433594,1.2442903518676758,1.6091079711914062
37000,0.15688562393188477,1.429182529449463,1.9109296798706055
38000,0.14889192581176758,1.332221508026123,1.6890511512756348
39000,0.1558852195739746,1.2442715167999268,1.769012212753296
40000,0.1828937530517578,1.2502660751342773,1.832947015762329
41000,0.16790175437927246,1.2802484035491943,1.813962697982788
42000,0.16590547561645508,1.279249668121338,1.8289599418640137
43000,0.17987561225891113,1.385206937789917,1.8609592914581299
44000,0.16690397262573242,1.3312201499938965,1.8869421482086182
45000,0.16489601135253906,1.3382346630096436,1.919910192489624
46000,0.17789220809936523,1.3981828689575195,2.005856513977051
47000,0.17923831939697266,1.398181438446045,2.024843454360962
48000,0.17887043952941895,1.4131908416748047,2.0438568592071533
49000,0.192887544631958,1.5660855770111084,2.162754535675049
50000,0.22586345672607422,1.6580522060394287,2.465592622756958
51000,0.17887067794799805,1.407177448272705,2.1387999057769775
52000,0.20188307762145996,1.4451744556427002,2.163756847381592
53000,0.18489336967468262,1.4601640701293945,2.1927719116210938
54000,0.19788432121276855,1.4851317405700684,2.2327234745025635
55000,0.20086073875427246,1.4681599140167236,2.278719425201416
56000,0.20685935020446777,1.5051369667053223,2.1228039264678955
57000,0.20086216926574707,1.502122163772583,2.1647839546203613
58000,0.20685601234436035,1.5041227340698242,2.169783353805542
59000,0.21986913681030273,1.5720815658569336,2.1687614917755127
